# xp yp zp Ez Er |E| Hp
# 1111 7
# 1 11 101 7
 5.64307000e-02  0.00000000e+00  0.00000000e+00  1.84029000e+06  0.00000000e+00  1.84029000e+06  0.00000000e+00
 5.70185000e-02  0.00000000e+00  0.00000000e+00  1.87860900e+06  0.00000000e+00  1.87860900e+06  0.00000000e+00
 5.76064000e-02  0.00000000e+00  0.00000000e+00  1.90748400e+06  0.00000000e+00  1.90748400e+06  0.00000000e+00
 5.81942000e-02  0.00000000e+00  0.00000000e+00  1.92405100e+06  0.00000000e+00  1.92405100e+06  0.00000000e+00
 5.87820000e-02  0.00000000e+00  0.00000000e+00  1.92988000e+06  0.00000000e+00  1.92988000e+06  0.00000000e+00
 0.00000000e+00  1.00000000e-03  0.00000000e+00  1.95166500e+06  0.00000000e+00  1.95166500e+06  1.54672700e+02
 5.87820000e-04  1.00000000e-03  0.00000000e+00  1.94596800e+06  9.69138800e+03  1.94599200e+06  1.54219700e+02
 1.17564000e-03  1.00000000e-03  0.00000000e+00  1.92875500e+06  1.93693100e+04  1.92885200e+06  1.52844900e+02
 1.76346000e-03  1.00000000e-03  0.00000000e+00  1.90029100e+06  2.90539700e+04  1.90051300e+06  1.50581600e+02
 2.35128000e-03  1.00000000e-03  0.00000000e+00  1.86011700e+06  3.87359900e+04  1.86052000e+06  1.47376600e+02
 2.93910000e-03  1.00000000e-03  0.00000000e+00  1.80895600e+06  4.82976600e+04  1.80960100e+06  1.43308600e+02
 3.52692000e-03  1.00000000e-03  0.00000000e+00  1.74674900e+06  5.77143400e+04  1.74770200e+06  1.38379000e+02
 4.11474000e-03  1.00000000e-03  0.00000000e+00  1.67378200e+06  6.70280300e+04  1.67512300e+06  1.32613800e+02
 4.70256000e-03  1.00000000e-03  0.00000000e+00  1.58982600e+06  7.57969200e+04  1.59163200e+06  1.25938100e+02
 5.29038000e-03  1.00000000e-03  0.00000000e+00  1.49617800e+06  8.42565000e+04  1.49854900e+06  1.18552400e+02
 5.87820000e-03  1.00000000e-03  0.00000000e+00  1.39250500e+06  9.21133700e+04  1.39554800e+06  1.10308800e+02
 6.46602000e-03  1.00000000e-03  0.00000000e+00  1.28073000e+06  9.90392500e+04  1.28455400e+06  1.01508800e+02
 7.05384000e-03  1.00000000e-03  0.00000000e+00  1.16141500e+06  1.05500100e+05  1.16619700e+06  9.21349300e+01
 7.64166000e-03  1.00000000e-03  0.00000000e+00  1.03463400e+06  1.10181200e+05  1.04048400e+06  8.20538700e+01
 8.22948000e-03  1.00000000e-03  0.00000000e+00  9.03539200e+05  1.14106200e+05  9.10715800e+05  7.17619000e+01
 8.81730000e-03  1.00000000e-03  0.00000000e+00  7.67911300e+05  1.16624100e+05  7.76716800e+05  6.09774300e+01
 9.40512000e-03  1.00000000e-03  0.00000000e+00  6.30989800e+05  1.17560900e+05  6.41847900e+05  5.02289300e+01
 9.99294000e-03  1.00000000e-03  0.00000000e+00  4.92667200e+05  1.17753600e+05  5.06544100e+05  3.92301900e+01
 1.05808000e-02  1.00000000e-03  0.00000000e+00  3.56399800e+05  1.15672700e+05  3.74701200e+05  2.85264500e+01
 1.11686000e-02  1.00000000e-03  0.00000000e+00  2.22493900e+05  1.12945900e+05  2.49520100e+05  1.79901700e+01
 1.17564000e-02  1.00000000e-03  0.00000000e+00  9.20595000e+04  1.08949100e+05  1.42635400e+05  7.61867500e+00
 1.23442000e-02  1.00000000e-03  0.00000000e+00 -3.27736200e+04  1.03939900e+05  1.08984500e+05 -2.22563100e+00
 1.29320000e-02  1.00000000e-03  0.00000000e+00 -1.51754600e+05  9.84706900e+04  1.80903100e+05 -1.16864200e+01
 1.35199000e-02  1.00000000e-03  0.00000000e+00 -2.63469500e+05  9.20184400e+04  2.79076300e+05 -2.05207600e+01
 1.41077000e-02  1.00000000e-03  0.00000000e+00 -3.67841100e+05  8.54024200e+04  3.77625000e+05 -2.88027200e+01
 1.46955000e-02  1.00000000e-03  0.00000000e+00 -4.64224300e+05  7.85648300e+04  4.70825500e+05 -3.64666400e+01
 1.52833000e-02  1.00000000e-03  0.00000000e+00 -5.52705900e+05  7.16296700e+04  5.57328100e+05 -4.35111500e+01
 1.58711000e-02  1.00000000e-03  0.00000000e+00 -6.32889000e+05  6.47778100e+04  6.36195400e+05 -4.98869200e+01
 1.64590000e-02  1.00000000e-03  0.00000000e+00 -7.05407000e+05  5.81005200e+04  7.07795700e+05 -5.56809300e+01
 1.70468000e-02  1.00000000e-03  0.00000000e+00 -7.70271800e+05  5.15610400e+04  7.71995600e+05 -6.08781400e+01
 1.76346000e-02  1.00000000e-03  0.00000000e+00 -8.27304900e+05  4.54637700e+04  8.28553200e+05 -6.54131300e+01
 1.82224000e-02  1.00000000e-03  0.00000000e+00 -8.77687600e+05  3.95998300e+04  8.78580500e+05 -6.94647700e+01
 1.88102000e-02  1.00000000e-03  0.00000000e+00 -9.20991900e+05  3.40694700e+04  9.21621800e+05 -7.29081200e+01
 1.93981000e-02  1.00000000e-03  0.00000000e+00 -9.58460900e+05  2.89859600e+04  9.58899100e+05 -7.59351000e+01
 1.99859000e-02  1.00000000e-03  0.00000000e+00 -9.90113600e+05  2.40924400e+04  9.90406600e+05 -7.84998700e+01
 2.05737000e-02  1.00000000e-03  0.00000000e+00 -1.01590600e+06  1.97849800e+04  1.01609800e+06 -8.05507300e+01
 2.11615000e-02  1.00000000e-03  0.00000000e+00 -1.03714300e+06  1.56993500e+04  1.03726200e+06 -8.22873300e+01
 2.17493000e-02  1.00000000e-03  0.00000000e+00 -1.05343600e+06  1.20171700e+04  1.05350400e+06 -8.35828100e+01
 2.23372000e-02  1.00000000e-03  0.00000000e+00 -1.06602300e+06  8.75836500e+03  1.06605900e+06 -8.46321700e+01
 2.29250000e-02  1.00000000e-03  0.00000000e+00 -1.07453500e+06  5.72182500e+03  1.07455000e+06 -8.53089800e+01
 2.35128000e-02  1.00000000e-03  0.00000000e+00 -1.08030700e+06  3.33892000e+03  1.08031200e+06 -8.58176600e+01
 2.41006000e-02  1.00000000e-03  0.00000000e+00 -1.08333500e+06  1.17813700e+03  1.08333600e+06 -8.61094800e+01
 2.46884000e-02  1.00000000e-03  0.00000000e+00 -1.08376200e+06 -4.52345000e+02  1.08376200e+06 -8.61434100e+01
 2.52763000e-02  1.00000000e-03  0.00000000e+00 -1.08285700e+06 -1.64418900e+03  1.08285800e+06 -8.61221700e+01
 2.58641000e-02  1.00000000e-03  0.00000000e+00 -1.08040600e+06 -2.52596200e+03  1.08040900e+06 -8.59272600e+01
 2.64519000e-02  1.00000000e-03  0.00000000e+00 -1.07765500e+06 -2.74611500e+03  1.07765800e+06 -8.57555800e+01
 2.70397000e-02  1.00000000e-03  0.00000000e+00 -1.07464800e+06 -2.74335300e+03  1.07465200e+06 -8.55550500e+01
 2.76275000e-02  1.00000000e-03  0.00000000e+00 -1.07169100e+06 -2.28676500e+03  1.07169400e+06 -8.53199400e+01
 2.82154000e-02  1.00000000e-03  0.00000000e+00 -1.06954000e+06 -1.55830700e+03  1.06954100e+06 -8.51737800e+01
 2.88032000e-02  1.00000000e-03  0.00000000e+00 -1.06822000e+06 -6.86933700e+02  1.06822100e+06 -8.50688400e+01
 2.93910000e-02  1.00000000e-03  0.00000000e+00 -1.06808100e+06  3.74378600e+02  1.06808100e+06 -8.50651100e+01
 2.99788000e-02  1.00000000e-03  0.00000000e+00 -1.06901000e+06  1.44416500e+03  1.06901100e+06 -8.51275800e+01
 3.05666000e-02  1.00000000e-03  0.00000000e+00 -1.07120300e+06  2.28767200e+03  1.07120600e+06 -8.53020100e+01
 3.11545000e-02  1.00000000e-03  0.00000000e+00 -1.07413500e+06  3.01267900e+03  1.07413900e+06 -8.55068700e+01
 3.17423000e-02  1.00000000e-03  0.00000000e+00 -1.07791500e+06  3.41734300e+03  1.07792000e+06 -8.58074100e+01
 3.23301000e-02  1.00000000e-03  0.00000000e+00 -1.08167300e+06  3.40591300e+03  1.08167800e+06 -8.60654700e+01
 3.29179000e-02  1.00000000e-03  0.00000000e+00 -1.08514300e+06  3.17413200e+03  1.08514800e+06 -8.62933200e+01
 3.35057000e-02  1.00000000e-03  0.00000000e+00 -1.08830900e+06  2.21258700e+03  1.08831200e+06 -8.65451000e+01
 3.40936000e-02  1.00000000e-03  0.00000000e+00 -1.08986600e+06  9.98703400e+02  1.08986600e+06 -8.66182500e+01
 3.46814000e-02  1.00000000e-03  0.00000000e+00 -1.09003200e+06 -7.15435400e+02  1.09003200e+06 -8.66314900e+01
 3.52692000e-02  1.00000000e-03  0.00000000e+00 -1.08756400e+06 -2.90378700e+03  1.08756800e+06 -8.63851700e+01
